"","price_open","price_high","price_low","price_close","volume","price_adjusted","ref_date","ticker","ret_adjusted_prices","ret_closing_prices"
"489",6.93,7.31,6.75,7.08,48600,7.08,2018-07-30,"VVAR3.SA",NA,NA
"490",7.3,7.3,6.93,7.15,41200,7.15,2018-07-31,"VVAR3.SA",0.00988700564971756,0.00988700564971756
"491",7.48,7.48,7.23,7.39,36100,7.39,2018-08-01,"VVAR3.SA",0.0335664335664334,0.0335664335664334
"492",7.25,7.4,7.18,7.4,20300,7.4,2018-08-02,"VVAR3.SA",0.00135317997293649,0.00135317997293649
"493",7.41,7.79,7.41,7.79,33200,7.79,2018-08-03,"VVAR3.SA",0.0527027027027027,0.0527027027027027
"494",7.84,8.14,7.84,8.12,41400,8.12,2018-08-06,"VVAR3.SA",0.0423620025673941,0.0423620025673941
"495",8.16,8.41,7.82,8,72300,8,2018-08-07,"VVAR3.SA",-0.0147783251231526,-0.0147783251231526
"496",7.52,8,7.35,7.4,98000,7.4,2018-08-08,"VVAR3.SA",-0.075,-0.075
"497",7.42,7.58,6.87,7.07,68300,7.07,2018-08-09,"VVAR3.SA",-0.0445945945945946,-0.0445945945945946
"498",6.96,7.07,6.62,6.68,35800,6.68,2018-08-10,"VVAR3.SA",-0.0551626591230553,-0.0551626591230553
"499",6.68,7,6.58,6.61,26100,6.61,2018-08-13,"VVAR3.SA",-0.0104790419161676,-0.0104790419161676
"500",6.84,7.16,6.84,7.08,24800,7.08,2018-08-14,"VVAR3.SA",0.0711043872919819,0.0711043872919819
"501",7.08,7.13,6.7,6.7,30700,6.7,2018-08-15,"VVAR3.SA",-0.0536723163841808,-0.0536723163841808
"502",7.05,7.06,6.56,6.56,17700,6.56,2018-08-16,"VVAR3.SA",-0.0208955223880598,-0.0208955223880598
"503",6.19,6.5,6.1,6.35,23300,6.35,2018-08-17,"VVAR3.SA",-0.0320121951219512,-0.0320121951219512
"504",6.5,6.6,6.38,6.53,12200,6.53,2018-08-20,"VVAR3.SA",0.0283464566929135,0.0283464566929135
"505",6.6,6.6,6.2,6.2,16500,6.2,2018-08-21,"VVAR3.SA",-0.0505359877488515,-0.0505359877488515
"506",6.1,6.28,6.06,6.15,6000,6.15,2018-08-22,"VVAR3.SA",-0.00806451612903225,-0.00806451612903225
"507",6.35,6.5,5.99,6.05,26900,6.05,2018-08-23,"VVAR3.SA",-0.0162601626016261,-0.0162601626016261
"508",6.27,6.3,5.92,6.14,31600,6.14,2018-08-24,"VVAR3.SA",0.0148760330578512,0.0148760330578512
"509",6.17,6.3,6.08,6.1,31100,6.1,2018-08-27,"VVAR3.SA",-0.00651465798045603,-0.00651465798045603
"510",6.12,6.13,5.94,6,26400,6,2018-08-28,"VVAR3.SA",-0.0163934426229507,-0.0163934426229507
"511",6.2,6.2,6.03,6.05,6200,6.05,2018-08-29,"VVAR3.SA",0.0083333333333333,0.0083333333333333
"512",6.03,6.04,5.88,6,8200,6,2018-08-30,"VVAR3.SA",-0.00826446280991733,-0.00826446280991733
"513",5.92,5.93,5.64,5.7,27400,5.7,2018-08-31,"VVAR3.SA",-0.0499999999999999,-0.0499999999999999
"514",6,6,5.42,5.51,23200,5.51,2018-09-03,"VVAR3.SA",-0.0333333333333334,-0.0333333333333334
"515",5.7,5.7,5.03,5.08,80500,5.08,2018-09-04,"VVAR3.SA",-0.0780399274047187,-0.0780399274047187
"516",5.12,5.17,4.85,4.95,37000,4.95,2018-09-05,"VVAR3.SA",-0.0255905511811023,-0.0255905511811023
"517",5.01,5.01,4.7,4.77,80400,4.77,2018-09-06,"VVAR3.SA",-0.0363636363636365,-0.0363636363636365
