"","price_open","price_high","price_low","price_close","volume","price_adjusted","ref_date","ticker","ret_adjusted_prices","ret_closing_prices"
"977",9.29,9.31,9.1,9.16,10709700,9.018119,2018-07-30,"USIM5.SA",NA,NA
"978",9.08,9.2,8.82,8.87,14747000,8.732611,2018-07-31,"USIM5.SA",-0.0316593737563232,-0.0316593886462883
"979",8.75,8.95,8.68,8.79,16367300,8.65385,2018-08-01,"USIM5.SA",-0.00901918109028332,-0.00901916572717021
"980",8.7,9.03,8.68,8.96,12742700,8.821218,2018-08-02,"USIM5.SA",0.0193402936265361,0.0193401592719
"981",9.1,9.19,9,9.05,13051800,8.909823,2018-08-03,"USIM5.SA",0.0100445312654103,0.0100446428571428
"982",9.11,9.11,8.83,8.83,12523800,8.69323,2018-08-06,"USIM5.SA",-0.0243094615908755,-0.0243093922651935
"983",8.92,8.98,8.68,8.73,11237900,8.594779,2018-08-07,"USIM5.SA",-0.0113250195842051,-0.0113250283125708
"984",8.86,8.91,8.75,8.8,12984300,8.663695,2018-08-08,"USIM5.SA",0.0080183562602365,0.00801832760595644
"985",8.82,8.87,8.52,8.53,18659000,8.397877,2018-08-09,"USIM5.SA",-0.0306818280191075,-0.0306818181818184
"986",8.4,8.49,7.6,7.91,45902000,7.78748,2018-08-10,"USIM5.SA",-0.0726846797113126,-0.0726846424384524
"987",8.05,8.23,7.85,8.1,25562600,7.974538,2018-08-13,"USIM5.SA",0.0240203506140626,0.0240202275600505
"988",8.16,8.28,8.1,8.26,11283100,8.132059,2018-08-14,"USIM5.SA",0.0197529938411478,0.019753086419753
"989",8.1,8.15,7.9,7.93,15615300,7.80717,2018-08-15,"USIM5.SA",-0.0399516284867092,-0.0399515738498789
"990",8.06,8.15,7.94,8,10970100,7.876086,2018-08-16,"USIM5.SA",0.008827270316901,0.00882723833543508
"991",7.92,7.98,7.75,7.94,11422700,7.817016,2018-08-17,"USIM5.SA",-0.00749991810653161,-0.00749999999999995
"992",8.1,8.43,8.05,8.37,19943800,8.240355,2018-08-20,"USIM5.SA",0.0541560871821165,0.0541561712846346
"993",8.34,8.35,8,8,14667000,7.876086,2018-08-21,"USIM5.SA",-0.0442054984281623,-0.0442054958183989
"994",8.02,8.22,7.93,8.14,12104100,8.013918,2018-08-22,"USIM5.SA",0.0175000628484758,0.0175000000000001
"995",8.13,8.23,7.93,8.02,14027400,7.895777,2018-08-23,"USIM5.SA",-0.0147419776443932,-0.0147420147420149
"996",8.21,8.27,8.07,8.16,10814300,8.033607,2018-08-24,"USIM5.SA",0.0174561667585089,0.0174563591022445
"997",8.2,8.34,8.18,8.27,9832300,8.141904,2018-08-27,"USIM5.SA",0.0134804951250416,0.0134803921568627
"998",8.29,8.35,8.09,8.19,11025200,8.063143,2018-08-28,"USIM5.SA",-0.00967353582159658,-0.0096735187424426
"999",8.23,8.38,8.19,8.33,7924700,8.200975,2018-08-29,"USIM5.SA",0.0170940785745706,0.0170940170940173
"1000",8.3,8.45,8.08,8.08,12539300,7.954847,2018-08-30,"USIM5.SA",-0.0300120412511926,-0.0300120048019208
"1001",8.13,8.2,8,8.07,9004400,7.945002,2018-08-31,"USIM5.SA",-0.00123761022682145,-0.00123762376237624
"1002",8.07,8.14,7.98,8.02,5507300,7.895777,2018-09-03,"USIM5.SA",-0.00619571901932814,-0.00619578686493194
"1003",8.05,8.07,7.8,8.01,14743800,7.885931,2018-09-04,"USIM5.SA",-0.00124699570415931,-0.00124688279301743
"1004",8,8.04,7.83,7.88,9536600,7.757945,2018-09-05,"USIM5.SA",-0.0162296626739442,-0.0162297128589264
"1005",8,8.03,7.82,7.94,9483900,7.817016,2018-09-06,"USIM5.SA",0.00761425867288312,0.00761421319796951
"1006",8.05,8.07,7.87,7.87,7090700,7.7481,2018-09-10,"USIM5.SA",-0.00881615184106055,-0.00881612090680106
"1007",7.76,7.76,7.39,7.4,14029100,7.28538,2018-09-11,"USIM5.SA",-0.0597204475936036,-0.0597204574332909
"1008",7.5,7.55,7.17,7.3,18514800,7.186929,2018-09-12,"USIM5.SA",-0.013513502384227,-0.0135135135135136
"1009",7.37,7.39,7.1,7.11,12557600,6.999872,2018-09-13,"USIM5.SA",-0.0260273894454781,-0.0260273972602739
"1010",7.15,7.22,6.96,7,14303100,6.891576,2018-09-14,"USIM5.SA",-0.0154711400437036,-0.0154711673699016
